ccn,report_year,y_true,LogisticRegression_proba,LogisticRegression_pred,RandomForest_proba,RandomForest_pred,XGBoost_proba,XGBoost_pred,SV_proba,SVM_pred
10001,2021,0,0.484856,0,0.65895,1,0.581531,1,0.026622,0
10005,2021,0,0.842459,1,0.542228,1,0.153712,0,0.5798,1
10006,2021,0,0.426835,0,0.161748,0,0.060532,0,0.001786,0
10007,2021,0,0.75412,1,0.209973,0,0.031119,0,0.000832,0
10008,2021,0,0.319911,0,0.159571,0,0.038359,0,0.082715,1
10011,2021,0,0.195589,0,0.068687,0,0.00955,0,0.017306,0
10012,2021,0,0.602426,1,0.015251,0,0.009081,0,0.00431,0
10016,2021,0,0.327134,0,0.060681,0,0.034322,0,0.001092,0
10018,2021,0,0.665948,1,0.305171,0,0.111901,0,0.001168,0
10019,2021,0,0.784907,1,0.140268,0,0.132796,0,0.015067,0
10021,2021,0,0.383649,0,0.273621,0,0.095701,0,0.000327,0
10022,2021,0,0.562967,1,0.214556,0,0.04972,0,0.182028,1
10023,2021,0,0.6428,1,0.170249,0,0.103042,0,0.013657,0
10024,2021,0,0.541042,1,0.207957,0,0.085977,0,0.00026,0
10029,2021,0,0.724546,1,0.233753,0,0.136788,0,0.011672,0
10033,2021,0,0.911212,1,0.752544,1,0.297325,0,0.035833,1
10034,2021,0,0.383317,0,0.260911,0,0.212308,0,0.003741,0
10035,2021,0,0.760556,1,0.42874,0,0.526348,1,0.051993,1
10036,2021,0,0.444649,0,0.019518,0,0.004271,0,0.003659,0
10038,2021,0,0.064348,0,0.099996,0,0.014895,0,1.3e-05,0
10039,2021,0,0.938065,1,0.500881,1,0.053057,0,0.002935,0
10040,2021,0,0.378651,0,0.018821,0,0.007758,0,0.000631,0
10044,2021,0,0.235719,0,0.116437,0,0.0366,0,4.1e-05,0
10045,2021,0,0.486469,0,0.253698,0,0.064745,0,0.00796,0
10046,2021,0,0.220921,0,0.078345,0,0.022447,0,0.025734,0
10049,2021,0,0.527644,1,0.02523,0,0.005634,0,0.003068,0
10051,2021,0,0.153417,0,0.042324,0,0.006388,0,0.000502,0
10052,2021,0,0.126352,0,0.09633,0,0.021549,0,0.000117,0
10055,2021,0,0.446075,0,0.015653,0,0.020262,0,0.001863,0
10056,2021,0,0.512015,1,0.077688,0,0.0521,0,0.00558,0
10058,2021,0,0.436563,0,0.220252,0,0.084622,0,0.006021,0
10059,2021,0,0.372115,0,0.321406,0,0.384931,0,0.007868,0
10061,2021,0,0.619439,1,0.102084,0,0.020863,0,0.017601,0
10062,2021,0,0.598497,1,0.254705,0,0.185773,0,0.030501,0
10065,2021,0,0.812026,1,0.429457,0,0.192033,0,0.002917,0
10069,2021,0,0.154373,0,0.051608,0,0.027203,0,0.00078,0
10073,2021,0,0.32368,0,0.326546,0,0.32224,0,0.000185,0
10078,2021,0,0.691372,1,0.17562,0,0.111262,0,0.006553,0
10079,2021,0,0.872611,1,0.236717,0,0.095145,0,0.010486,0
10083,2021,0,0.266495,0,0.006752,0,0.000537,0,7e-06,0
10085,2021,0,0.493858,0,0.207708,0,0.135717,0,0.004884,0
10086,2021,0,0.318329,0,0.148115,0,0.097056,0,0.000552,0
10087,2021,0,0.414381,0,0.307401,0,0.269116,0,2e-05,0
10089,2021,0,0.415106,0,0.11029,0,0.080957,0,0.00082,0
10090,2021,0,0.411652,0,0.136069,0,0.064183,0,0.004439,0
10091,2021,0,0.47613,0,0.268438,0,0.314273,0,0.082031,1
10092,2021,0,0.673442,1,0.645152,1,0.431315,0,0.003472,0
10095,2021,0,0.413597,0,0.327479,0,0.446027,0,0.014213,0
10097,2021,0,0.114723,0,0.155351,0,0.053836,0,0.000496,0
10099,2021,0,0.541379,1,0.331668,0,0.198046,0,0.006858,0
10100,2021,0,0.52187,1,0.266769,0,0.059009,0,0.004757,0
10101,2021,0,0.37353,0,0.088202,0,0.04684,0,0.000387,0
10102,2021,0,0.173735,0,0.192336,0,0.02954,0,0.001492,0
10103,2021,0,0.169839,0,0.058404,0,0.018031,0,0.000463,0
10104,2021,0,0.529184,1,0.065444,0,0.013316,0,0.000189,0
10108,2021,0,0.268199,0,0.07793,0,0.023409,0,0.004134,0
10110,2021,0,0.268952,0,0.156691,0,0.149512,0,0.015904,0
10112,2021,0,0.495348,0,0.136595,0,0.055304,0,0.001221,0
10113,2021,0,0.561698,1,0.192447,0,0.0624,0,0.003192,0
10114,2021,0,0.622019,1,0.251836,0,0.256091,0,0.072477,1
10118,2021,0,0.238867,0,0.001813,0,0.005659,0,0.000647,0
10120,2021,0,0.35027,0,0.275439,0,0.042558,0,0.000441,0
10125,2021,0,0.160779,0,0.188445,0,0.076455,0,5.7e-05,0
10126,2021,0,0.594525,1,0.3257,0,0.336392,0,0.005648,0
10128,2021,1,0.277385,0,0.624735,1,0.798798,1,0.271908,1
10129,2021,0,0.41711,0,0.05611,0,0.005258,0,0.030977,0
10130,2021,0,0.268044,0,0.030986,0,0.002477,0,1.2e-05,0
10131,2021,0,0.608055,1,0.004621,0,0.002818,0,5.4e-05,0
10138,2021,0,0.322838,0,0.148085,0,0.079412,0,0.004176,0
10139,2021,0,0.454024,0,0.049515,0,0.027922,0,0.001204,0
10144,2021,0,0.496739,0,0.119407,0,0.050216,0,0.000317,0
10148,2021,0,0.15312,0,0.178366,0,0.102952,0,0.002467,0
10149,2021,0,0.506968,1,0.018856,0,0.007193,0,0.001475,0
10150,2021,0,0.575164,1,0.162012,0,0.079466,0,0.000421,0
10157,2021,0,0.367989,0,0.22,0,0.093177,0,0.002036,0
10158,2021,0,0.401573,0,0.119564,0,0.03451,0,0.000125,0
10164,2021,0,0.338426,0,0.223949,0,0.088343,0,0.000342,0
10168,2021,0,0.341278,0,0.329668,0,0.149279,0,0.001192,0
10169,2021,0,0.273319,0,0.305451,0,0.04025,0,0.002403,0
10173,2021,0,0.374719,0,0.043451,0,0.014372,0,1.4e-05,0
10174,2021,0,0.200627,0,0.066356,0,0.005249,0,0.001607,0
10175,2021,0,0.152187,0,0.099704,0,0.032469,0,0.001698,0
11300,2021,0,0.393981,0,0.266116,0,0.050197,0,0.000922,0
11302,2021,0,0.484152,0,0.258731,0,0.266017,0,0.135544,1
11304,2021,0,0.31174,0,0.148488,0,0.023731,0,0.016738,0
11305,2021,0,0.448496,0,0.191742,0,0.151298,0,0.000465,0
11306,2021,0,0.477398,0,0.34391,0,0.092483,0,0.038727,1
12006,2021,0,0.040651,0,0.007682,0,0.002847,0,9.7e-05,0
12007,2021,0,0.000185,0,0.015628,0,0.001288,0,3e-05,0
12008,2021,0,0.000246,0,0.000586,0,0.001545,0,9.2e-05,0
12009,2021,0,0.030845,0,0.00038,0,0.003121,0,5.2e-05,0
12010,2021,0,0.048326,0,0.000423,0,0.002013,0,8.6e-05,0
12011,2021,0,0.000202,0,0.000423,0,0.000746,0,3.9e-05,0
12012,2021,0,0.060441,0,0.000423,0,0.002863,0,7.2e-05,0
12014,2021,0,0.000181,0,0.000296,0,0.002321,0,2.2e-05,0
13025,2021,0,0.017965,0,0.029702,0,0.006572,0,2.5e-05,0
13028,2021,0,0.020618,0,0.005723,0,0.00543,0,4e-06,0
13029,2021,0,0.02646,0,0.006008,0,0.005065,0,6e-06,0
13030,2021,0,0.016975,0,0.004548,0,0.003283,0,2e-06,0
13031,2021,0,0.026394,0,0.003416,0,0.001894,0,8.1e-05,0
13032,2021,0,0.019188,0,0.001533,0,0.003499,0,4e-06,0
13033,2021,0,0.013136,0,0.008481,0,0.001878,0,1e-06,0
13300,2021,0,0.875286,1,0.617651,1,0.558352,1,0.001232,0
13301,2021,0,0.809405,1,0.249932,0,0.098225,0,0.000263,0
14000,2021,0,0.185626,0,0.028866,0,0.006438,0,0.009414,0
14006,2021,0,0.26249,0,0.041538,0,0.012278,0,0.003744,0
14007,2021,0,0.002025,0,0.039173,0,0.005307,0,6e-06,0
14012,2021,0,0.445342,0,0.041883,0,0.003648,0,0.001047,0
14014,2021,0,0.422748,0,0.279253,0,0.129215,0,0.002435,0
14016,2021,0,0.00675,0,0.040376,0,0.007847,0,0.000152,0
14017,2021,0,0.372694,0,0.403391,0,0.158737,0,0.012311,0
14018,2021,0,0.002166,0,0.03053,0,0.006543,0,0.001372,0
20001,2021,0,0.638259,1,0.240931,0,0.231413,0,0.004421,0
20006,2021,0,0.273636,0,0.02339,0,0.000472,0,0.002742,0
20008,2021,0,0.803098,1,0.652716,1,0.890574,1,0.019499,0
20012,2021,0,0.57752,1,0.126167,0,0.037961,0,0.014278,0
20017,2021,0,0.242902,0,0.035029,0,0.001869,0,4.3e-05,0
20018,2021,0,0.588579,1,0.617472,1,0.865879,1,0.4394,1
20024,2021,0,0.432831,0,0.464082,0,0.370165,0,0.000727,0
20026,2021,0,0.621165,1,0.197397,0,0.122319,0,0.001788,0
21301,2021,0,0.453604,0,0.240223,0,0.033991,0,0.001294,0
21302,2021,0,0.421309,0,0.129843,0,0.093324,0,0.000631,0
21304,2021,0,0.619849,1,0.238873,0,0.120958,0,0.014486,0
21305,2021,0,0.401563,0,0.078986,0,0.009721,0,0.008977,0
21306,2021,0,0.580064,1,0.240759,0,0.029773,0,0.056363,1
21307,2021,0,0.369974,0,0.106422,0,0.025521,0,0.01656,0
21308,2021,0,0.785219,1,0.337998,0,0.08391,0,0.002084,0
21309,2021,0,0.000361,0,0.265845,0,0.287478,0,0.001745,0
21310,2021,0,0.473072,0,0.203078,0,0.121918,0,0.001356,0
21311,2021,0,0.762517,1,0.252306,0,0.194357,0,2.1e-05,0
21312,2021,0,3e-06,0,0.319888,0,0.268048,0,0.002969,0
21313,2021,0,0.573538,1,0.479308,0,0.479352,0,0.002061,0
21314,2021,0,0.600676,1,0.375751,0,0.379741,0,0.010131,0
22001,2021,0,0.068495,0,0.003317,0,0.000831,0,0.000258,0
24001,2021,0,0.235324,0,0.002711,0,0.00138,0,0.013974,0
24002,2021,0,0.377559,0,0.054441,0,0.005385,0,0.000225,0
30002,2021,0,0.547155,1,0.042207,0,0.015926,0,0.001245,0
30006,2021,0,0.557756,1,0.311188,0,0.020978,0,0.001166,0
30007,2021,0,0.31252,0,0.149523,0,0.009092,0,4.5e-05,0
30010,2021,0,0.491954,0,0.121889,0,0.10257,0,0.001715,0
30011,2021,0,0.415153,0,0.05912,0,0.076412,0,0.00325,0
