ccn,cbsa,report_year,beds,fte_employees,total_discharges,total_days,inpatient_revenue,outpatient_revenue,total_patient_revenue,net_patient_revenue,total_operating_expense,net_income,total_costs,total_salaries,overhead_costs,depreciation_cost,contract_labor,cost_to_charge_ratio,charity_care_cost,bad_debt_expense,cost_of_uncompensated_care,total_unreimbursed_and_uncompensated_care,cash_on_hand_and_in_banks,accounts_receivable,total_current_assets,total_current_liabilities,total_long_term_liabilities,total_liabilities,total_fund_balances,total_assets,medicaid_net_revenue
10001,20020.0,2014,398.0,2405.8,18489.0,94934.0,702457034.0,748728652.0,1451185686.0,290209919.0,313050295.0,1125576.0,231992999.0,136034568.0,177015727.0,20884213.0,204809.0,0.179295,5256594.0,104422708.0,24479384.0,28691031.0,5836798.0,238954076.0,68781537.0,35131255.0,120117898.0,155249153.0,237954390.0,393203543.0,21186859.0
10001,20020.0,2015,400.0,2379.5,18484.0,89693.0,698495267.0,852176750.0,1550672017.0,299070211.0,320701028.0,605488.0,238867113.0,139432336.0,181268692.0,20756178.0,,0.1685,4286307.0,90985897.0,20350620.0,25026782.0,8339540.0,246020717.0,64631457.0,37199604.0,115632336.0,152831940.0,238751389.0,391583329.0,8612038.0
10001,20020.0,2016,387.0,2397.43,19632.0,97665.0,784325760.0,849556423.0,1633882183.0,314934337.0,338324728.0,3205307.0,246974731.0,151197309.0,187127419.0,26633261.0,21218.0,0.162766,5333936.0,96783230.0,21657836.0,29216156.0,6085744.0,247281586.0,66684582.0,40344854.0,102518374.0,142863228.0,240794348.0,383657576.0,8946322.0
10001,20020.0,2017,387.0,2425.37,19677.0,99315.0,851050005.0,856687148.0,1707737153.0,325106921.0,344247883.0,6938545.0,250424328.0,160050242.0,184197641.0,24018001.0,2745185.0,0.157182,4161972.0,101100723.0,20676207.0,21713434.0,31651152.0,254601102.0,95040786.0,44214597.0,96004176.0,140218773.0,251040868.0,391259641.0,15373802.0
10001,20020.0,2018,327.0,2371.67,19963.0,95560.0,898488807.0,941312589.0,1839801396.0,340882061.0,352067099.0,5006731.0,262391792.0,161596528.0,190470571.0,23062021.0,4880807.0,0.152631,4034798.0,113122287.0,21782404.0,21782404.0,32282079.0,287435684.0,96172606.0,47297353.0,99324954.0,146622307.0,243813389.0,390435696.0,15602532.0
10001,20020.0,2019,342.0,2479.23,20694.0,99283.0,999529466.0,1029724792.0,2029254258.0,381021338.0,388885121.0,15165799.0,289913337.0,176716870.0,212168251.0,23047776.0,6609722.0,0.152285,11025384.0,92315370.0,25746956.0,25746956.0,18661571.0,336526875.0,92013914.0,52885947.0,93194600.0,146080547.0,257463398.0,403543945.0,24500022.0
10001,20020.0,2020,332.0,2212.85,19235.0,96720.0,1005129354.0,858271387.0,1863400741.0,386129795.0,392753995.0,26266177.0,297404894.0,180987391.0,211766604.0,24800962.0,5559301.0,0.169117,19188161.0,36493115.0,25866530.0,25866530.0,107404920.0,274562247.0,174914979.0,92971088.0,120962224.0,213933312.0,282529903.0,496463215.0,22059016.0
10001,20020.0,2021,326.0,2516.04,17818.0,101608.0,1001915516.0,880386673.0,1882302189.0,398171158.0,421843017.0,13702186.0,321109739.0,193767995.0,228075022.0,26101790.0,4075457.0,0.182322,20930852.0,37179518.0,27992560.0,27992560.0,70934945.0,307922835.0,140334877.0,81662871.0,111923908.0,193586779.0,296134053.0,489720832.0,
10001,20020.0,2022,353.0,2415.18,18814.0,103997.0,1055637912.0,994140865.0,2049778777.0,427135423.0,445957255.0,-3857583.0,348343434.0,189150185.0,256807070.0,25859051.0,40251654.0,0.18383,21442527.0,31132910.0,27376577.0,27376577.0,31280869.0,290285909.0,97725656.0,91966051.0,66846973.0,158813024.0,292650569.0,451463593.0,35286495.0
10001,20020.0,2023,345.0,2438.0,18800.0,102930.0,1104631755.0,1063599040.0,2168230795.0,435666482.0,449978814.0,23982132.0,342951907.0,196455054.0,253523760.0,28814729.0,20984366.0,0.171332,15039146.0,30107563.0,20511923.0,20763287.0,44273483.0,256584174.0,109225677.0,85699750.0,81310848.0,167010598.0,317009806.0,467276715.0,24852668.0
10005,99901.0,2014,204.0,1074.47,8849.0,37535.0,121342650.0,333111391.0,454454041.0,134587150.0,140630091.0,2943592.0,106029369.0,51692754.0,88937337.0,9227670.0,2353940.0,0.273267,2657910.0,31658504.0,11438311.0,11438311.0,8982354.0,14275907.0,26870317.0,70203.0,95925057.0,95995260.0,84744934.0,180740194.0,13852157.0
10005,99901.0,2015,204.0,1068.4,9368.0,38465.0,120078683.0,350284666.0,470363349.0,143538907.0,146147743.0,8662942.0,109894275.0,53291805.0,92855938.0,9194579.0,2107310.0,0.274711,1981774.0,31150912.0,10731885.0,10731885.0,21486715.0,17408900.0,47792805.0,27429974.0,68136560.0,95566534.0,120051051.0,215617585.0,15159528.0
