Feature,Importance
cash_on_hand_and_in_banks,0.07797015
hospital_type_Rural/Access,0.059947446
inpatient_revenue_share,0.0341702
engagement_index,0.028780041
domains_reporting,0.027362535
hospital_type_Childrens,0.024908463
total_liabilities,0.022205545
hospital_ownership_Government,0.022169072
fte_employees,0.02147221
readm_worse,0.021143518
birthing_center,0.021062424
performance_ratio,0.020749591
salary_cost_share,0.020105315
liability_ratio,0.019816384
readm_participation,0.019503247
net_performance_rate,0.019267913
safety_better,0.018869229
safety_participation,0.018237133
hospital_type_Psychiatric,0.01729053
hospital_ownership_Non-Profit,0.017012654
contract_labor_share,0.016719602
medicaid_revenue_share,0.016259074
charity_care_pct_revenue,0.016116314
debt_to_equity,0.015418873
asset_turnover,0.0152926175
operating_margin,0.01481023
discharge_rate,0.014750715
emergency_services,0.014664772
cost_to_revenue_ratio,0.014576162
te_participation,0.014570615
mort_participation,0.014524852
cost_to_charge_ratio,0.013944441
overhead_cost_share,0.013826758
mort_worse,0.013773611
depreciation_cost_share,0.013381641
safety_worse,0.013281873
occupancy_rate,0.012840521
beds,0.012486759
cbsa,0.01213483
readm_better,0.011349838
medicaid_net_revenue,0.0109441
mort_better,0.010942435
current_ratio,0.010871482
bad_debt_pct_revenue,0.01084623
outpatient_revenue_share,0.010845124
net_performance_score,0.010339576
bed_tier_Medium,0.010198513
total_assets,0.009895985
revenue_tier_Q3_Mid-High,0.009476217
total_costs,0.009298835
total_discharges,0.008931708
ptexp_participation,0.008856123
net_profit_margin,0.008129073
total_unreimbursed_and_uncompensated_care,0.008040643
bed_tier_Small,0.00777833
beds_yoy_change,0.0076059485
net_income,0.0074130516
fte_employees_yoy_change,0.0068234503
total_costs_yoy_change,0.0057288115
net_patient_revenue_yoy_change,0.0047202767
net_income_yoy_change,0.0036992275
revenue_tier_Q2_Mid-Low,0.0018472567
is_profitable,0.0
high_charity,0.0
bed_tier_Micro,0.0
bed_tier_Major,0.0
hospital_type_Long-term,0.0
revenue_tier_Q4_High,0.0
