Provider_CCN,is_matched_hospital,Entity_Name,State,Individuals_Affected,Breach_Year,Main_Breach_Type,Main_Location,Business_Associate_Involved
,False,BROOKE ARMY MEDICAL CENTER,TX,1000.0,2009,Theft,Paper Records,No
,False,"MID AMERICA KIDNEY STONE ASSOCIATION, LLC",MO,1000.0,2009,Theft,Network Server,No
,False,ALASKA DEPARTMENT OF HEALTH AND SOCIAL SERVICES,AK,501.0,2009,Theft,Other (Cloud/Portable Media),No
,False,"HEALTH SERVICES FOR CHILDREN WITH SPECIAL NEEDS, INC.",DC,3800.0,2009,Loss,Physical Device (Workstation/Laptop),No
,False,"MICHELE DEL VICARIO, MD",CA,6145.0,2009,Theft,Physical Device (Workstation/Laptop),No
,False,"L. DOUGLAS CARLSON, M.D.",CA,5257.0,2009,Theft,Physical Device (Workstation/Laptop),No
,False,"MARK D. LURIE, MD",CA,5166.0,2009,Theft,Physical Device (Workstation/Laptop),No
,False,"DAVID I. COHEN, MD",CA,857.0,2009,Theft,Physical Device (Workstation/Laptop),No
,False,"JOSEPH F. LOPEZ, MD",CA,952.0,2009,Theft,Physical Device (Workstation/Laptop),No
,False,CITY OF HOPE NATIONAL MEDICAL CENTER,CA,5900.0,2009,Theft,Physical Device (Workstation/Laptop),No
,False,THE CHILDREN'S HOSPITAL OF PHILADELPHIA,PA,943.0,2009,Theft,Physical Device (Workstation/Laptop),No
,False,"COGENT HEALTHCARE, INC.",TN,6400.0,2009,Theft,Physical Device (Workstation/Laptop),Yes
,False,"DEMOCRACY DATA & COMMUNICATIONS, LLC (",VA,83000.0,2009,Other/Unknown,Paper Records,Yes
050315,True,KERN MEDICAL CENTER,CA,596.0,2009,Theft,Other (Cloud/Portable Media),No
,False,"RICK LAWSON, PROFESSIONAL COMPUTER SERVICES",NC,2000.0,2009,Theft,Network Server,Yes
,False,"UNIVERSITY OF CALIFORNIA, SAN FRANCISCO",CA,610.0,2009,Other/Unknown,Email,No
,False,DETROIT DEPARTMENT OF HEALTH AND WELLNESS PROMOTION,MI,646.0,2009,Theft,Physical Device (Workstation/Laptop),No
,False,DANIEL J. SIGMAN MD PC,MA,1860.0,2010,Theft,Electronic Medical Record (EMR),Yes
220075,True,MASSACHUSETTS EYE AND EAR INFIRMARY,MA,1076.0,2010,Theft,Other (Cloud/Portable Media),No
,False,SERVICE BENEFITS PLAN ADMINISTRATIVE SERVICES CORP,DC,3400.0,2010,Theft,Paper Records,Yes
,False,MERKLE DIRECT MARKETING,MD,15000.0,2010,Theft,Paper Records,Yes
,False,KAISER PERMANENTE MEDICAL CARE PROGRAM,CA,15500.0,2010,Theft,Other (Cloud/Portable Media),No
,False,UNITED MICRO DATA,ID,2562.0,2010,Theft,Other (Cloud/Portable Media),Yes
,False,"GOODWILL INDUSTRIES OF GREATER GRAND RAPIDS, INC.",MI,10000.0,2010,Theft,Other (Cloud/Portable Media),No
,False,CHILDREN'S MEDICAL CENTER OF DALLAS,TX,3800.0,2010,Loss,Other (Cloud/Portable Media),No
,False,CONCENTRA,TX,900.0,2010,Theft,Physical Device (Workstation/Laptop),No
,False,ASHLEY AND GRAY DDS,MO,9309.0,2010,Theft,Physical Device (Workstation/Laptop),No
,False,ADVOCATE HEALTH CARE,IL,812.0,2010,Theft,Physical Device (Workstation/Laptop),No
,False,THE METHODIST HOSPITAL,TX,689.0,2010,Theft,Other (Cloud/Portable Media),No
,False,"UNIVERSITY OF CALIFORNIA, SAN FRANCISCO",CA,7300.0,2010,Theft,Physical Device (Workstation/Laptop),No
,False,CARLE CLINIC ASSOCIATION,IL,1300.0,2010,Theft,Paper Records,No
,False,HEALTH BEHAVIOR INNOVATIONS (HBI),UT,5700.0,2010,Theft,Other (Cloud/Portable Media),Yes
,False,CENTER FOR NEUROSCIENCES,AZ,1100.0,2010,Theft,Physical Device (Workstation/Laptop),No
,False,BLUE CROSS BLUE SHIELD OF RI,RI,528.0,2010,Other/Unknown,Paper Records,Yes
,False,MSO OF PUERTO RICO,PR,605.0,2010,Theft,Paper Records,Yes
,False,"MSO OF PUERTO RICO, INC.",PR,1907.0,2010,Theft,Paper Records,Yes
